TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
16-Mar-21,165.51,171,165.51,166.61,37100
17-Mar-21,170.49,170.5,160.1,166.43,66100
18-Mar-21,165,167,163,163.14,41900
19-Mar-21,160,164.9,160,163.11,230400
22-Mar-21,163,175.3,158.07,172.13,161800
24-Mar-21,170,175,168,173.46,195800
25-Mar-21,174.99,174.99,168.5,169.8,154000
26-Mar-21,165.5,168,165,165.64,48600
29-Mar-21,166.1,166.1,158.11,160.1,56900
30-Mar-21,160,167.9,160,165.9,14100
31-Mar-21,164,171.99,164,169.69,80800
1-Apr-21,167,167.99,164.4,164.4,28900
2-Apr-21,164.4,168,161.25,164.94,42400
5-Apr-21,161.5,161.5,160,160.04,12500
6-Apr-21,160.4,169.99,160.4,168.86,36300
7-Apr-21,165.1,170.49,165,166.22,45700
8-Apr-21,167,171,167,169.78,81800
9-Apr-21,166.52,170.5,166.11,169.87,64900
12-Apr-21,169,176,168.5,171.84,151300
13-Apr-21,172,173,169.5,170,10700
14-Apr-21,170,170.05,169,169,11400
15-Apr-21,169,172,165.9,167.92,73300
16-Apr-21,167.04,171.94,166.1,170.31,188900
19-Apr-21,166.1,169.5,166,168,18700
20-Apr-21,168.5,169.95,168,168.31,37000
21-Apr-21,168.03,169.4,167,168.88,31100
22-Apr-21,167.3,172,165,170.44,77600
23-Apr-21,167.01,170,165.55,169.05,51500
26-Apr-21,166.25,170.99,166,170.01,168100
27-Apr-21,167.5,170.01,166,168.25,90400
28-Apr-21,167.9,169.5,161.1,167.98,54100
29-Apr-21,166.44,166.9,164.01,164.93,62500
30-Apr-21,165.01,166.7,160.5,164.97,37700
3-May-21,164,164,158.16,160.97,40000
4-May-21,161.5,164,158.01,163.33,13000
5-May-21,161.08,163.99,160,161.88,143000
6-May-21,164,164,160,161.23,10800
17-May-21,163.5,165,158.5,160.19,165200
18-May-21,160,161.5,159,159.9,45000
19-May-21,160.99,161,159,160.15,55000
20-May-21,161,161,157.01,159.02,66700
21-May-21,158.08,159.8,158,159.09,39600
24-May-21,161.75,165.3,160.55,161.42,158900
25-May-21,162.35,166.66,162.35,165.24,144100
26-May-21,166,170,165.3,168.54,165700
27-May-21,169.9,171,167.25,170.57,57600
28-May-21,170,175,168.26,173.98,187300
31-May-21,174.9,182,173.01,181.28,389300
1-Jun-21,178.25,181.4,175,179.24,236600
2-Jun-21,181,181,175,178.79,147300
3-Jun-21,177.01,181.5,177.01,179.64,61300
4-Jun-21,178.13,179.4,176.01,178.32,162500
7-Jun-21,178.1,179.75,176.05,178.13,46100
8-Jun-21,179.45,179.45,175.56,178.72,13800
9-Jun-21,179.99,180,177,178.59,21200
10-Jun-21,178.5,178.95,176.1,178.06,49800
11-Jun-21,178,178.49,176,177.17,27500
14-Jun-21,178.19,182,177.5,179.78,55600
15-Jun-21,179.39,182.5,178.5,180.14,188700
16-Jun-21,179.8,179.8,176.25,178.88,45700
17-Jun-21,178.25,180.7,177.95,179.57,56300
18-Jun-21,179,181.49,178.3,180.41,63900
21-Jun-21,178.51,181.45,178.18,180.82,11400
22-Jun-21,180,181.4,179,180.54,86100
23-Jun-21,180.54,181.9,178.6,179.81,81200
24-Jun-21,180,180,178.02,179.6,43800
25-Jun-21,180.5,180.5,177,178.54,58900
28-Jun-21,178.25,180,176,179.16,64800
29-Jun-21,180,181,176.15,179.66,73000
30-Jun-21,180,183.45,177.25,179.82,552200
1-Jul-21,181.5,181.5,178.1,179.08,43200
2-Jul-21,179.95,179.95,177,178.73,21900
